start_time,match_id,new_skill,old_skill,skill_change,cumulative_matches
2024-03-14,2,30.106876,29.722471,0.38440514,582
2024-03-15,2,30.0355,30.106876,-0.0713768,584
2024-03-16,3,30.237356,30.0355,0.20185661,587
2024-03-17,4,30.08402,30.237356,-0.15333557,591
2024-03-18,1,30.269289,30.08402,0.1852684,592
2024-03-19,3,30.056633,30.269289,-0.21265602,595
2024-03-20,4,29.800993,30.056633,-0.25564003,599
2024-03-21,3,29.864225,29.800993,0.06323242,602
2024-03-22,5,28.972374,29.864225,-0.8918514,607
2024-03-23,2,29.228067,28.972374,0.25569344,609
2024-03-25,5,28.646929,29.228067,-0.5811386,614
2024-03-26,2,28.75859,28.646929,0.11166191,616
2024-03-27,2,28.820621,28.75859,0.062030792,618
2024-03-28,1,28.677046,28.820621,-0.14357567,619
2024-03-30,5,28.653746,28.677046,-0.02330017,624
2024-03-31,2,28.357811,28.653746,-0.29593468,626
2024-04-01,1,28.611963,28.357811,0.2541523,627
2024-04-05,2,28.62413,28.611963,0.012166977,629
2024-04-06,3,28.749937,28.62413,0.12580681,632
2024-04-07,3,29.57326,28.749937,0.8233223,635
2024-04-08,5,29.272562,29.57326,-0.30069733,640
2024-04-12,1,29.348549,29.272562,0.07598686,641
2024-04-14,4,29.312395,29.348549,-0.036153793,645
2024-04-15,2,29.317982,29.312395,0.005586624,647
2024-04-16,3,29.52287,29.317982,0.20488739,650
2024-04-17,2,29.716585,29.52287,0.19371605,652
2024-04-18,2,29.38582,29.716585,-0.33076477,654
2024-04-19,8,29.181433,29.38582,-0.20438766,662
2024-04-20,1,29.346827,29.181433,0.16539383,663
2024-04-21,5,29.729902,29.346827,0.3830757,668
2024-04-23,3,29.809677,29.729902,0.07977486,671
2024-04-25,2,30.067469,29.809677,0.25779152,673
2024-04-26,1,29.924047,30.067469,-0.14342117,674
2024-04-27,5,29.445265,29.924047,-0.47878265,679
2024-04-28,4,29.277987,29.445265,-0.16727829,683
2024-04-30,5,29.271303,29.277987,-0.0066833496,688
2024-05-02,7,29.191364,29.271303,-0.07993889,695
2024-05-03,2,29.469109,29.191364,0.2777443,697
2024-05-04,3,29.47807,29.469109,0.008960724,700
2024-05-05,2,29.642906,24.681849,4.9610577,702
2024-05-06,2,29.322481,29.642906,-0.32042503,704
2024-05-07,2,29.379524,29.322481,0.057043076,706
2024-05-08,2,29.147707,29.379524,-0.23181725,708
2024-05-13,3,29.5422,29.147707,0.3944931,711
2024-05-14,1,29.637403,29.5422,0.0952034,712
2024-05-16,1,29.40774,29.637403,-0.22966385,713
2024-05-17,3,29.426083,29.40774,0.018342972,716
2024-05-18,3,29.533768,29.426083,0.10768509,719
2024-05-19,3,29.47157,29.533768,-0.06219864,722
2024-05-20,2,29.523535,29.47157,0.051965714,724
2024-05-21,1,29.667624,29.523535,0.14408875,725
2024-05-22,2,29.889936,29.667624,0.22231293,727
2024-05-24,3,30.187155,29.889936,0.29721832,730
2024-05-25,1,30.09239,30.187155,-0.09476471,731
2024-05-26,5,30.409273,30.09239,0.3168831,736
2024-05-27,1,30.501764,30.409273,0.09249115,737
2024-05-29,1,31.069239,30.501764,0.56747437,738
2024-05-30,1,30.494305,31.069239,-0.574934,739
2024-05-31,1,31.098343,30.494305,0.60403824,740
2024-06-01,3,30.462872,31.098343,-0.63547134,743
2024-06-02,2,30.921566,30.462872,0.45869446,745
2024-06-05,2,32.03333,30.921566,1.111763,747
2024-06-08,2,33.15623,32.03333,1.1229019,749
2024-06-09,1,32.549644,33.15623,-0.60658646,750
2024-06-10,2,32.43547,32.549644,-0.11417389,752
2024-06-11,1,33.015747,32.43547,0.5802765,753
2024-06-12,4,31.914207,33.015747,-1.1015396,757
2024-06-13,1,32.40615,31.914207,0.49194336,758
2024-06-15,2,32.82329,32.43547,0.3878212,760
2024-06-16,2,33.319622,32.82329,0.49633026,762
2024-06-18,1,31.777014,32.288063,-0.5110493,763
2024-06-21,2,31.730461,31.777014,-0.046552658,765
2024-06-22,2,32.27547,33.319622,-1.0441513,767
2024-06-24,2,31.040592,32.27547,-1.2348785,769
2024-06-25,1,31.468458,31.040592,0.42786598,770
2024-06-26,1,32.035072,31.468458,0.56661415,771
2024-06-27,2,32.164288,32.035072,0.12921524,773
2024-06-28,1,31.557268,32.164288,-0.6070194,774
2024-06-29,1,32.02509,31.557268,0.46782112,775
2024-07-07,1,34.5832,33.910168,0.67303085,776
2024-07-08,3,31.918718,32.02509,-0.106370926,779
2024-07-09,2,30.766035,31.918718,-1.1526833,781
2024-07-10,1,31.265615,30.766035,0.49958038,782
2024-07-11,2,31.356276,31.265615,0.090660095,784
2024-07-19,2,31.267508,31.356276,-0.088768005,786
2024-07-20,1,31.804527,31.267508,0.5370197,787
2024-07-21,3,34.235355,31.804527,2.430828,790
2024-07-22,1,30.332495,30.858664,-0.5261688,791
2024-07-23,3,31.876633,30.332495,1.544138,794
2024-07-24,2,32.941986,31.876633,1.0653534,796
2024-07-25,1,33.452682,32.941986,0.5106964,797
2024-07-26,2,34.589657,33.452682,1.1369743,799
2024-07-27,3,32.607075,34.589657,-1.9825821,802
2024-07-28,6,32.459457,32.607075,-0.14761734,808
2024-07-29,2,33.30799,32.459457,0.84853363,810
2024-07-30,6,35.332436,33.30799,2.0244446,816
2024-07-31,5,35.62521,35.332436,0.2927742,821
2024-08-01,2,36.45312,35.62521,0.8279114,823
2024-08-02,1,36.206245,36.45312,-0.24687576,824
2024-08-03,4,36.0143,34.25892,1.7553825,828
2024-08-04,1,35.496395,36.0143,-0.5179062,829
2024-08-05,2,37.112476,35.29278,1.8196945,831
2024-08-06,2,35.51542,35.496395,0.019023895,833
2024-08-07,2,37.98241,37.112476,0.8699341,835
2024-08-08,2,34.36503,35.51542,-1.1503906,837
2024-08-09,2,34.33946,34.36503,-0.025569916,839
2024-08-10,5,36.344364,34.33946,2.0049057,844
2024-08-11,2,34.89945,36.344364,-1.4449158,846
2024-08-13,2,34.90902,34.89945,0.009571075,848
2024-08-14,1,24.105894,24.39937,-0.2934761,849
2024-08-15,1,35.53641,35.53641,0.0,850
2024-08-16,1,35.997658,35.53641,0.4612465,851
2024-08-18,2,35.08329,35.997658,-0.9143677,853
2024-08-20,2,33.777885,34.90902,-1.131134,855
2024-08-25,2,35.529453,33.777885,1.7515678,857
2024-08-26,2,35.21509,35.529453,-0.31436157,859
2024-08-27,3,33.980114,35.21509,-1.2349777,862
2024-08-28,8,33.381565,33.19378,0.1877861,870
2024-08-29,1,33.836582,33.381565,0.4550171,871
2024-09-02,1,34.135616,33.836582,0.29903412,872
2024-09-05,1,34.62956,34.135616,0.49394226,873
2024-09-07,1,33.918617,33.392433,0.5261841,874
2024-09-08,1,33.202995,33.918617,-0.71562195,875
2024-09-09,2,33.834026,34.62956,-0.7955322,877
2024-09-10,1,34.54176,34.996418,-0.4546585,878
2024-09-11,2,26.862225,34.54176,-7.679535,880
2024-09-12,2,33.591595,34.54176,-0.9501648,882
2024-09-13,2,35.00072,33.834026,1.1666946,884
